name,uuid,version,tree_hash,source_kind,is_direct_dep,git_revision
OpenBLAS_jll,4536629a-c528-5b80-bd46-f80d51c5b363,0.3.29+0,,stdlib,false,
OpenLibm_jll,05823500-19ac-5b8b-9628-191a04bc5112,0.8.7+0,,stdlib,false,
OpenMPI_jll,fe0851c0-eecd-5654-98d4-656369965a5c,5.0.10+0,2f3d05e419b6125ffe06e55784102e99325bdbe2,registry,false,
OpenSSL_jll,458c3c95-2e84-50aa-8efc-19380b2a3a95,3.5.4+0,,stdlib,false,
OpenSpecFun_jll,efe28fd5-8261-553b-a9e1-b2916fc3738e,0.5.6+0,1346c9208249809840c91b26703912dff463d335,registry,false,
OrderedCollections,bac558e1-5e72-5ebc-8fee-abe8a469f55d,1.8.1,05868e21324cede2207c6f0f466b4bfef6d5e7ee,registry,false,
Parsers,69de0a69-1ddd-5017-9359-2bf0b02dc9f0,2.8.3,7d2f8f21da5db6a806faf7b9b292296da42b2810,registry,false,
Pkg,44cfe95a-1eb2-52ea-b672-e2afdf69b78f,1.12.1,,stdlib,false,
PooledArrays,2dfb63ee-cc39-5dd5-95bd-886bf059d720,1.4.3,36d8b4b899628fb92c2749eb488d884a926614d3,registry,false,
PrecompileTools,aea7be01-6a6a-4083-8856-8a6e6704d82a,1.3.3,07a921781cab75691315adc645096ed5e370cb77,registry,false,
Preferences,21216c6a-2e73-6563-6e65-726566657250,1.5.2,8b770b60760d4451834fe79dd483e318eee709c4,registry,false,
PrettyTables,08abe8d2-0d0c-5749-adfa-8a2ac140af0d,3.3.2,624de6279ab7d94fc9f672f0068107eb6619732c,registry,false,
Printf,de0858da-6303-5e67-8744-51eddeeeb8d7,1.11.0,,stdlib,false,
Profile,9abbd945-dff8-562f-b5e8-e1ebf5ef1b79,1.11.0,,stdlib,false,
ProgressMeter,92933f4c-e287-5a05-a399-4b506db050ca,1.11.0,fbb92c6c56b34e1a2c4c36058f68f332bec840e7,registry,false,
REPL,3fa0cd96-eef1-5676-8a61-b3b8758bbffb,1.11.0,,stdlib,false,
Random,9a3f8284-a2c9-5f02-9a11-845980a1fd5c,1.11.0,,stdlib,false,
Reexport,189a3867-3050-52da-a836-e630ba90ab69,1.2.2,45e428421666073eab6f2da5c9d310d99bb12f9b,registry,false,
Requires,ae029012-a4dd-5104-9daa-d747884805df,1.3.1,62389eeff14780bfe55195b7204c0d8738436d64,registry,false,
RoundingEmulator,5eaf0fd0-dfba-4ccb-bf02-d820a40db705,0.2.1,40b9edad2e5287e05bd413a38f61a8ff55b9557b,registry,false,
SHA,ea8e919c-243c-51af-8825-aaa63cd721ce,0.7.0,,stdlib,false,
SentinelArrays,91c51154-3ec4-41a3-a24f-3f23e20d615c,1.4.9,ebe7e59b37c400f694f52b58c93d26201387da70,registry,false,
Serialization,9e88b42a-f829-5b0c-bbe9-9e923198166b,1.11.0,,stdlib,false,
Sockets,6462fe0b-24de-5631-8697-dd941f90decc,1.11.0,,stdlib,false,
SortingAlgorithms,a2af1166-a08f-5f64-846c-94a0d3cef48c,1.2.2,64d974c2e6fdf07f8155b5b2ca2ffa9069b608d9,registry,false,
SparseArrays,2f01184e-e22b-5df5-ae63-d93ebab69eaf,1.12.0,,stdlib,false,
SpecialFunctions,276daf66-3868-5448-9aa4-cd146d93841b,2.7.2,2700b235561b0335d5bef7097a111dc513b8655e,registry,false,
StaticArraysCore,1e83bf80-4336-4d27-bf5d-d5a4f845583c,1.4.4,6ab403037779dae8c514bad259f32a447262455a,registry,false,
Statistics,10745b16-79ce-11e8-11f9-7d13ad32a3b2,1.11.1,ae3bb1eb3bba077cd276bc5cfc337cc65c3075c0,registry,true,
StringEncodings,69024149-9ee7-55f6-a4c4-859efe599b68,0.3.7,b765e46ba27ecf6b44faf70df40c57aa3a547dcb,registry,false,
StringManipulation,892a3eda-7b42-436c-8928-eab12a02cf0e,0.4.4,d05693d339e37d6ab134c5ab53c29fce5ee5d7d5,registry,false,
StructUtils,ec057cc2-7a8d-4b58-b3b3-92acb9f63b42,2.7.1,fa95b3b097bcef5845c142ea2e085f1b2591e92c,registry,false,
StyledStrings,f489334b-da3d-4c2e-b8f0-e476e12c162b,1.11.0,,stdlib,false,
SuiteSparse_jll,bea87d4a-7f5b-5778-9afe-8cc45184846c,7.8.3+2,,stdlib,false,
TOML,fa267f1f-6049-4f14-aa54-33bafae1ed76,1.0.3,,stdlib,false,
TableTraits,3783bdb8-4a98-5b6b-af9a-565f29a5fe9c,1.0.1,c06b2f539df1c6efa794486abfb6ed2022561a39,registry,false,
Tables,bd369af6-aec1-5ad0-b16a-f7cc5008161c,1.12.1,f2c1efbc8f3a609aadf318094f8fc5204bdaf344,registry,false,
Tar,a4e569a6-e804-4fa4-b0f3-eef7a1d5b13e,1.10.0,,stdlib,false,
Test,8dfed614-e22c-5e08-85e1-65c5234f0b40,1.11.0,,stdlib,false,
TranscodingStreams,3bb67fe8-82b1-5028-8e26-92a6c54297fa,0.11.3,0c45878dcfdcfa8480052b6ab162cdd138781742,registry,false,
UUIDs,cf7118a7-6976-5b1a-9a39-7adc72f591a4,1.11.0,,stdlib,false,
Unicode,4ec0a83e-493e-50e2-b9ac-8f72acf5a8f5,1.11.0,,stdlib,false,
WeakRefStrings,ea10d353-3f73-51f8-a26c-33c1cb351aa5,1.4.2,b1be2855ed9ed8eac54e5caff2afcdb442d52c23,registry,false,
WorkerUtilities,76eceee3-57b5-4d4a-8e66-0e911cebbf60,1.6.1,cd1659ba0d57b71a464a29e64dbc67cfe83d54e7,registry,false,
XML2_jll,02c8fc9c-b97f-50b9-bbe4-9be30ff0a78a,2.13.9+0,80d3930c6347cfce7ccf96bd3bafdf079d9c0390,registry,false,
Xorg_libpciaccess_jll,a65dc6b1-eb27-53a1-bb3e-dea574b5389e,0.18.1+0,4909eb8f1cbf6bd4b1c30dd18b2ead9019ef2fad,registry,false,
Zlib_jll,83775a58-1f1d-513f-b197-d71354ab007a,1.3.1+2,,stdlib,false,
libaec_jll,477f73a3-ac25-53e9-8cc3-50b2fa2566f0,1.1.6+0,1411bc34c180946d3cef591de1384012afa6edee,registry,false,
libblastrampoline_jll,8e850b90-86db-534c-a0d3-1478176c7d93,5.15.0+0,,stdlib,false,
nghttp2_jll,8e850ede-7688-5339-a07c-302acd2aaf8d,1.64.0+1,,stdlib,false,
p7zip_jll,3f19e933-33d8-53b3-aaab-bd5110c3b7a0,17.7.0+0,,stdlib,false,
